id,title,title_ja,title_en,summary,summary_ja,summary_en,keywords,keywords_ja,keywords_en,recommended_site_types,recommended_building_types,recommended_building_types_ja,recommended_building_types_en,reference_case_ids,case_relation_notes,case_relation_notes_ja,case_relation_notes_en,source_urls,status,updated_at
ISSUE-001,独居高龄者与社区断裂,独居高齢者とコミュニティの断絶,Older people living alone and community disconnection,高龄单身户增加使日常照应、共食和社交支持变弱，社区需要低门槛且可持续运营的照护与交流空间。,高齢単身世帯が増えるなかで、食事、見守り、雑談、ちょっとした相談を受け止める場所が地域から失われつつある。団地や低層部の余白を読み替え、日常的に立ち寄れるケアと交流の拠点として考える。,"Use aging, living alone, community, care to frame “Older people living alone and community disconnection” as a spatial thesis topic. Connect it with site types and programs such as communitydining room, small multifunctional care, then develop it toward a proposal brief.",老龄化|独居|社区|高龄|照护,高齢化|独居|見守り|地域ケア|共食,aging|living alone|community|care,SITE-001|SITE-007,社区食堂|小规模多功能照护|共享住宅,コミュニティ食堂|小規模多機能ケア拠点|見守り付きシェアハウス,communitydining room|small multifunctional care|shared housing,CASE-027|CASE-019|CASE-033,CASE-027::看图书馆与福祉设施如何把高龄者、日常停留和多代交流放在一个低门槛公共节点。|CASE-019::看车站型公共咨询与市民活动如何补足生活支援入口。|CASE-033::看足汤、食物和小商业如何制造轻照护式日常停留点。,CASE-027::図書館、福祉、木材空間が一体になり、世代を限定しない滞在を生んでいる。高齢者支援を「施設」ではなく日常の居場所として組み立てる参考になる。|CASE-019::駅前の公共サービスと市民活動を重ねる構成は、相談、見守り、交流を一つの低い入口にまとめる手がかりになる。|CASE-033::足湯や食を介した短時間滞在が、観光と地域利用をゆるく接続している。高齢者が目的を持たずに立ち寄れる場所の参考になる。,"CASE-027::This case helps compare mixed programs, publicness, and operational ideas related to the issue.|CASE-019::This case helps compare mixed programs, publicness, and operational ideas related to the issue.|CASE-033::This case helps compare mixed programs, publicness, and operational ideas related to the issue.",https://www8.cao.go.jp/kourei/|https://www.mhlw.go.jp/,published,2026-07-03
ISSUE-002,空屋再生与地方创生,空き家再生と地域創生,Vacant-house reuse and local revitalization,空置住宅与闲置小建筑持续增加，若能转化为短住、工坊或社区服务节点，可降低启动成本并激活地方关系。,空き家や小さな空き建物を、単なる不動産問題ではなく、短期滞在、制作、地域サービスを受け止める実験的な拠点として読み替える。既存ストックの記憶と低コストな改修可能性を生かす題材にする。,"Use vacant house, reuse, local revitalization to frame “Vacant-house reuse and local revitalization” as a spatial thesis topic. Connect it with site types and programs such as communityworkshop, Design topic: 共居space, then develop it toward a proposal brief.",空屋|再利用|地方创生,空き家|再利用|地域再生|滞在|小規模改修,vacant house|reuse|local revitalization,SITE-003|SITE-009,社区工坊|共居空间|短住交流设施,コミュニティ工房|共同居住空間|短期滞在交流施設,communityworkshop|Design topic: 共居space|Design topic: 短住exchangefacility,CASE-005|CASE-028|CASE-041,CASE-005::看旧校舍如何转化为可运营的艺术与社区复合空间。|CASE-028::看住宿、艺术和半公共活动如何参与中心街区再生。|CASE-041::看工业遗产如何通过艺术和环境体验重新进入公共生活。,CASE-005::廃校をアート、展示、地域活動へ開いた例として、既存建物の記憶を残しながら用途を重ねる方法を比較できる。|CASE-028::既存建物と新しい宿泊・アート機能を組み合わせ、中心市街地の再生を建築体験として見せている。空き家群を滞在資源に変える参考になる。|CASE-041::産業遺構を保存しつつ、環境とアートの体験へ転換している。使われなくなった場所を文化的資産として読み替える視点を得られる。,"CASE-005::This case helps compare mixed programs, publicness, and operational ideas related to the issue.|CASE-028::This case helps compare mixed programs, publicness, and operational ideas related to the issue.|CASE-041::This case helps compare mixed programs, publicness, and operational ideas related to the issue.",https://www.mlit.go.jp/|https://www.soumu.go.jp/,published,2026-07-03
ISSUE-003,儿童放学后照护与社区安全,放課後の子どもケアと地域安全,After-school care and neighborhood safety,双职工家庭与课后照护需求上升，儿童需要兼具学习、玩耍、陪伴与邻里可见性的复合社区空间。,放課後の子どもの居場所は、預かりだけでなく、読書、遊び、学習、地域の見守りが同時に起こる場所として考えたい。学校外の日常動線に、安心して長く滞在できる小さな公共空間を挿入する。,"Use children, childcare, safety, learning to frame “After-school care and neighborhood safety” as a spatial thesis topic. Connect it with site types and programs such as Design topic: 课后carecenter, childrenlibrary, then develop it toward a proposal brief.",儿童|托育|安全|学习|公共性,子ども|放課後|見守り|学習|地域安全,children|childcare|safety|learning|publicness,SITE-002|SITE-005,课后照护中心|儿童图书馆|社区中心,放課後ケアセンター|子ども図書館|地域学習ラウンジ,Design topic: 课后carecenter|childrenlibrary|communitycenter,CASE-023|CASE-018|CASE-007,CASE-023::看儿童阅读和探索如何被做成可自由停留的公共空间。|CASE-018::看安静学习空间如何成为城市级公共资源。|CASE-007::看图书馆、展览和市民活动如何共享开放结构。,CASE-023::子どもの読書体験を都市の水辺と結び、学習を強制ではなく発見として設計している。放課後の居場所づくりに応用できる。|CASE-018::光の入る大きな読書空間は、静かな学習と地域の公共性を両立している。子どもと大人が同じ場にいられる距離感の参考になる。|CASE-007::図書館、展示、市民活動を階層的に重ねる構成から、子ども向け施設を単機能に閉じない考え方を学べる。,"CASE-023::This case helps compare mixed programs, publicness, and operational ideas related to the issue.|CASE-018::This case helps compare mixed programs, publicness, and operational ideas related to the issue.|CASE-007::This case helps compare mixed programs, publicness, and operational ideas related to the issue.",https://www.cfa.go.jp/,published,2026-07-03
ISSUE-004,商店街衰退与日常公共性,商店街の衰退と日常の公共性,Declining shopping streets and everyday publicness,传统商店街人流下降但仍有步行尺度和生活记忆，可转化为社区厨房、学习点和小型共享服务网络。,商店街の衰退を、店舗数の減少だけでなく、歩く理由や立ち止まる理由が失われる問題として捉える。空き店舗や路地の余白を使い、食、相談、休憩、小商いが混ざる日常の公共空間を考える。,"Use Design topic: 商店街, Design topic: 步行, renewal, publicness to frame “Declining shopping streets and everyday publicness” as a spatial thesis topic. Connect it with site types and programs such as communitykitchen, Design topic: neighborhood客厅, then develop it toward a proposal brief.",商店街|步行|更新|公共性,商店街|歩行|空き店舗|日常公共性|小商い,Design topic: 商店街|Design topic: 步行|renewal|publicness,SITE-002|SITE-004,社区厨房|街区客厅|共享店铺,コミュニティキッチン|街区リビング|シェア店舗,communitykitchen|Design topic: neighborhood客厅|Design topic: shared店铺,CASE-008|CASE-019|CASE-009,CASE-008::看车站如何变成灾后城镇的日常公共客厅。|CASE-019::看车站上部设施如何承接咨询和市民活动。|CASE-009::看多文化服务如何嵌入社区咨询和交流。,CASE-008::駅と温浴を復興の生活動線に組み込み、移動の途中に滞在の理由をつくっている。商店街に目的地を増やす考え方に近い。|CASE-019::公共サービスと市民活動を駅前にまとめ、日常的な用事と滞在を接続している。商店街の空き区画を公共入口に変える参考になる。|CASE-009::相談、交流、多文化支援を一つの場所にまとめる構成は、商店街の小さな空間に社会的役割を持たせる手がかりになる。,"CASE-008::This case helps compare mixed programs, publicness, and operational ideas related to the issue.|CASE-019::This case helps compare mixed programs, publicness, and operational ideas related to the issue.|CASE-009::This case helps compare mixed programs, publicness, and operational ideas related to the issue.",https://www.chusho.meti.go.jp/|https://www.meti.go.jp/,published,2026-07-03
ISSUE-005,废校再利用与地区学习,廃校再利用と地域学習,Closed-school reuse and local learning,少子化导致学校统合后出现闲置校舍，既有教室、操场和社区记忆适合转化为学习、交流和避难复合空间。,廃校を保存対象として眺めるだけでなく、地域学習、避難、制作、世代交流を受け止める公共資源として再編集する。教室、廊下、校庭の既存スケールを生かし、学び直しの拠点に変える。,"Use Design topic: 废校, education, community, learning to frame “Closed-school reuse and local learning” as a spatial thesis topic. Connect it with site types and programs such as communityschool, learningcenter, then develop it toward a proposal brief.",废校|教育|社区|学习,廃校|地域学習|再利用|避難|世代交流,Design topic: 废校|education|community|learning,SITE-005|SITE-008,社区学校|学习中心|避难复合设施,コミュニティ学校|地域学習センター|避難機能付き複合施設,communityschool|learningcenter|Design topic: evacuation复合facility,CASE-005|CASE-018|CASE-007,CASE-005::看旧学校空间如何保留记忆并转为社区学习活动。|CASE-018::看图书馆如何提供开放、安静、可停留的学习环境。|CASE-007::看多层公共性如何支持学习、展览和市民使用。,CASE-005::旧学校をアートセンターとして再利用し、教室単位のスケールを活動の受け皿に変えている。廃校活用の直接的な参考になる。|CASE-018::公共図書館としての明るく開かれた学習環境は、学校外の学びを地域に開くときの空間密度を考える材料になる。|CASE-007::メディア、展示、図書館が共存する公共建築として、学習施設を複合化する場合の大きな構成を比較できる。,"CASE-005::This case helps compare mixed programs, publicness, and operational ideas related to the issue.|CASE-018::This case helps compare mixed programs, publicness, and operational ideas related to the issue.|CASE-007::This case helps compare mixed programs, publicness, and operational ideas related to the issue.",https://www.mext.go.jp/|https://www.bousai.go.jp/,published,2026-07-03
ISSUE-006,团地老化与代际混居,団地の老朽化と世代混住,Aging housing estates and intergenerational living,战后住宅团地面临高龄化、空室和公共空间弱化，适合探索照护、育儿、共享厨房和小商业混合的再生模型。,老朽化した団地を、住宅の更新だけでなく、多世代の生活サービスを再配置する問題として扱う。低層部、空地、集会所を使い、食事、ケア、子育て、移動支援が近接する団地内拠点を考える。,"Use Design topic: 团地, Design topic: 代际, Design topic: 住宅regeneration, care to frame “Aging housing estates and intergenerational living” as a spatial thesis topic. Connect it with site types and programs such as Design topic: 代际共居, shareddining room, then develop it toward a proposal brief.",团地|代际|住宅再生|照护,団地|多世代|住宅再生|生活サービス|ケア,Design topic: 团地|Design topic: 代际|Design topic: 住宅regeneration|care,SITE-007|SITE-001,代际共居|共享食堂|团地服务站,多世代共同居住|団地食堂|生活サービス拠点,Design topic: 代际共居|shareddining room|Design topic: 团地service站,CASE-012|CASE-027|CASE-019,CASE-012::看老旧团地如何通过底层服务和公共空间再组织。|CASE-027::看福祉设施和公共学习空间如何支持多代停留。|CASE-019::看咨询、活动和交通便利性如何补足团地外部服务网络。,CASE-012::団地再生を住宅だけでなくサービスや共用部の再編として捉える参考になる。既存住民を残しながら変える視点が重要。|CASE-027::図書館と福祉を重ねる構成は、団地内に学びとケアの両方を置く場合の公共性を考える材料になる。|CASE-019::駅前公共施設の複合プログラムから、団地低層部に相談、活動、待合をまとめる方法を読み取れる。,"CASE-012::This case helps compare mixed programs, publicness, and operational ideas related to the issue.|CASE-027::This case helps compare mixed programs, publicness, and operational ideas related to the issue.|CASE-019::This case helps compare mixed programs, publicness, and operational ideas related to the issue.",https://www.ur-net.go.jp/|https://www.mlit.go.jp/,published,2026-07-03
ISSUE-007,水边空间与防灾日常化,水辺空間と防災の日常化,Waterfront space and everyday disaster preparedness,河边与运河空间既有景观潜力也有水害风险，建筑可把日常活动、避难、储备和环境教育结合起来。,水辺を景観として楽しむだけでなく、水害、防災教育、日常散歩を結びつける公共空間として考える。避難時だけ使う施設ではなく、普段から身体で地形や水位を理解できる場所にする。,"Use waterfront, disaster prevention, environmental education to frame “Waterfront space and everyday disaster preparedness” as a spatial thesis topic. Connect it with site types and programs such as Design topic: waterfrontlearning馆, disaster preventioncommunitycenter, then develop it toward a proposal brief.",水边|防灾|环境教育,水辺|防災|環境教育|避難|日常利用,waterfront|disaster prevention|environmental education,SITE-006|SITE-010,水边学习馆|防灾社区中心|临水公共空间,水辺学習館|防災コミュニティセンター|親水公共空間,Design topic: waterfrontlearning馆|disaster preventioncommunitycenter|Design topic: 临水publicspace,CASE-014|CASE-015,CASE-014::看水边步行和休憩如何成为日常公共空间。|CASE-015::看灾害记忆、避难和地区复兴如何共存。,CASE-014::川沿いの歩行空間が日常利用を生み、水辺を都市生活に戻している。防災を日常化するための基盤として読める。|CASE-015::災害の記憶を展示だけにせず、地域の再出発と学習に接続する例として、防災施設の公共性を比較できる。,"CASE-014::This case helps compare mixed programs, publicness, and operational ideas related to the issue.|CASE-015::This case helps compare mixed programs, publicness, and operational ideas related to the issue.",https://www.mlit.go.jp/river/|https://www.bousai.go.jp/,published,2026-07-03
ISSUE-008,高温城市与避暑公共空间,高温都市と暑さを避ける公共空間,Hot cities and public cooling places,夏季高温和热岛效应增加户外活动风险，街区需要可步行到达的阴影、休息、饮水和降温节点。,暑さを避ける場所を、冷房のある建物に逃げ込むだけの問題にしない。日陰、水辺、緑、休憩、健康支援を組み合わせ、街の中で短時間でも身体を回復できる公共空間を考える。,"Use Design topic: 热岛, Design topic: 避暑, health to frame “Hot cities and public cooling places” as a spatial thesis topic. Connect it with site types and programs such as Design topic: neighborhood冷却站, Design topic: public休息廊, then develop it toward a proposal brief.",热岛|避暑|健康,ヒートアイランド|避暑|健康|緑化|休憩,Design topic: 热岛|Design topic: 避暑|health,SITE-002|SITE-006,街区冷却站|公共休息廊|绿荫社区馆,まちなかクーリング拠点|公共休息廊|木陰コミュニティ館,Design topic: neighborhood冷却站|Design topic: public休息廊|Design topic: 绿荫community馆,CASE-016|CASE-014,CASE-016::看大型绿化公共建筑如何缓解热岛并提供停留。|CASE-014::看水边连续空间如何提供散步、休息和降温可能。,CASE-016::建築と都市緑化を一体化し、環境負荷と公共利用を同時に扱う例。暑熱対策を建築の断面として考える参考になる。|CASE-014::水辺の風、日陰、歩行空間が都市の休憩装置になる。暑さを避ける公共動線の設計に使える。,"CASE-016::This case helps compare mixed programs, publicness, and operational ideas related to the issue.|CASE-014::This case helps compare mixed programs, publicness, and operational ideas related to the issue.",https://www.env.go.jp/|https://www.mhlw.go.jp/,published,2026-07-03
ISSUE-009,灾后避难与平时利用脱节,災害時避難と平常時利用の断絶,Disaster shelters separated from everyday use,许多避难设施只在灾时被想起，平时缺乏吸引力。毕业设计可研究平灾结合的可运营公共建筑。,避難施設は災害時だけ開く場所では使われにくい。平常時の学習、備蓄、地域活動、待合を重ね、いざという時に自然に集まれる、普段から使われる防災拠点として考える。,"Use disaster prevention, evacuation, Design topic: 平灾结合 to frame “Disaster shelters separated from everyday use” as a spatial thesis topic. Connect it with site types and programs such as disaster preventionlearningcenter, Design topic: community仓库, then develop it toward a proposal brief.",防灾|避难|平灾结合,防災|避難|平常時利用|備蓄|地域活動,disaster prevention|evacuation|Design topic: 平灾结合,SITE-005|SITE-010,防灾学习中心|社区仓库|复合避难所,防災学習センター|コミュニティ備蓄拠点|複合避難所,disaster preventionlearningcenter|Design topic: community仓库|Design topic: 复合evacuation所,CASE-015|CASE-020,CASE-015::看灾后公共设施如何兼顾记忆、交流和避难意识。|CASE-020::看交通休息节点如何兼具地方服务和灾时支援。,CASE-015::震災の記憶、展示、地域の公共空間を重ねる例として、災害を過去の出来事で終わらせない建築の役割を考えられる。|CASE-020::道の駅のような日常利用される交通・地域拠点は、防災時にも機能する複合拠点のモデルになる。,"CASE-015::This case helps compare mixed programs, publicness, and operational ideas related to the issue.|CASE-020::This case helps compare mixed programs, publicness, and operational ideas related to the issue.",https://www.bousai.go.jp/|https://www.fdma.go.jp/,published,2026-07-03
ISSUE-010,外国居民与生活支援入口,外国人住民と生活支援の入口,Support entry points for foreign residents,外国居民面对语言、手续、育儿和就业信息壁垒，街区需要低压力、可咨询、可学习的多文化支持空间。,外国人住民の支援は、役所の窓口だけでは届きにくい。言語学習、相談、子育て、地域交流を低いハードルでつなげ、生活の入口として使える多文化拠点を考える。,"Use multicultural, consultation, inclusive living, public service to frame “Support entry points for foreign residents” as a spatial thesis topic. Connect it with site types and programs such as multiculturalcenter, Design topic: 语言learningspace, then develop it toward a proposal brief.",多文化|咨询|共生|公共服务,多文化|生活相談|共生|言語学習|公共サービス,multicultural|consultation|inclusive living|public service,SITE-002|SITE-004,多文化中心|语言学习空间|社区咨询站,多文化センター|言語学習ラウンジ|コミュニティ相談拠点,multiculturalcenter|Design topic: 语言learningspace|Design topic: communityconsultation站,CASE-009|CASE-019,CASE-009::看语言、手续和社区活动如何组合成多文化入口。|CASE-019::看车站型公共设施如何降低咨询和参与门槛。,CASE-009::移民支援を相談、学習、交流の場としてまとめているため、多文化拠点のプログラム構成を直接比較できる。|CASE-019::公共サービスと市民活動を駅前に重ねる構成は、多文化支援を街の中心に置く場合の入口づくりに参考になる。,"CASE-009::This case helps compare mixed programs, publicness, and operational ideas related to the issue.|CASE-019::This case helps compare mixed programs, publicness, and operational ideas related to the issue.",https://www.moj.go.jp/isa/|https://www.soumu.go.jp/,published,2026-07-03
