id,name,name_ja,name_en,location,location_ja,location_en,image_url,image_source_url,image_license,image_credit,image_note,plan_url,section_url,concept,concept_ja,concept_en,keywords,keywords_ja,keywords_en,source_url,year,architect,status
CASE-001,Share Kanazawa,Share Kanazawa,Share Kanazawa,Kanazawa Japan,金沢 日本,Kanazawa Japan,/images/graduation/case-placeholder.svg,,,,Image review 2026-07-04: Commons and Openverse found Kanazawa city images only; no exact Share Kanazawa reusable image confirmed.,,,以福利、居住和社区活动混合，弱化机构感并鼓励日常交流。,「Share Kanazawa」は、福祉・共生・コミュニティ・ケアの関係を読み取る参考事例。用途の複合、運営、居場所のつくり方を卒業設計に転用して考えられる。,"Share Kanazawa is a reference case for reading Design topic: 福利, inclusive living, community, care. It can inform thesis thinking about mixed programs, operation, and place-making.",福利|共生|社区|照护|共食|生活支持|高龄,福祉|共生|コミュニティ|ケア|共食|生活支援|高齢,Design topic: 福利|inclusive living|community|care|shared meals|Design topic: 生活支持|aging,https://www.goi.co.jp/building/share_kanazawa/,2014,GOI Architecture & Associates,draft
CASE-002,Kamikatsu Zero Waste Center,Kamikatsu Zero Waste Center,Kamikatsu Zero Waste Center,Kamikatsu Japan,Kamikatsu 日本,Kamikatsu Japan,/images/graduation/cases/case-002-kamikatsu-zero-waste-center.jpeg,https://commons.wikimedia.org/wiki/File:Kamikatsucho-zero-waste-center.jpeg,CC0,Wikimedia Commons,,,,把垃圾分类、教育、住宿和社区交流组织成可被公众理解的循环设施。,ごみ分別、環境教育、滞在、地域食を一つの場所で見せる施設。循環の仕組みを隠さず、地域活動として体験できる点が参考になる。,"Kamikatsu Zero Waste Center is a reference case for reading Design topic: 环境, community, reuse, local food. It can inform thesis thinking about mixed programs, operation, and place-making.",环境|社区|再利用|地域食|食育,環境|コミュニティ|再利用|地域食|食育,Design topic: 环境|community|reuse|local food|food education,https://www.nakam.info/en/works/kamikatsu0/,2020,Hiroshi Nakamura & NAP,published
CASE-003,ROKI Global Innovation Center  ROOG,ROKI Global Innovation Center ROOG,ROKI Global Innovation Center  ROOG,Hamamatsu Japan,Hamamatsu 日本,Hamamatsu Japan,/images/graduation/case-placeholder.svg,,,,Image review 2026-07-04: official and JIAC media found but no reusable license confirmed; Commons and Openverse found no exact image.,,,以连续屋顶和开放工作环境塑造交流、研究和休息混合的工作场。,連続する大屋根の下に研究、休憩、交流を置くワークプレイス。働く場所を閉じたオフィスではなく、偶然の出会いを生む環境として読める。,"ROKI Global Innovation Center  ROOG is a reference case for reading Design topic: 工作, exchange, roof. It can inform thesis thinking about mixed programs, operation, and place-making.",工作|交流|屋顶,研究開発|交流|大屋根|ワークプレイス|共創,Design topic: 工作|exchange|roof,https://tk-a.jp/en/projects/roki,2013,Tetsuo Kobori Architects,draft
CASE-004,Naoshima Honmura Lounge and Archive,Naoshima Honmura Lounge and Archive,Naoshima Honmura Lounge and Archive,Naoshima Japan,Naoshima 日本,Naoshima Japan,/images/graduation/case-placeholder.svg,,,,Image review 2026-07-04: Openverse found exact Honmura Lounge photos but only NC or NC-ND licenses; placeholder retained.,,,以小尺度公共客厅和档案功能支撑艺术岛居民与访客的交汇。,「Naoshima Honmura Lounge and Archive」は、アーカイブ・地域・交流・観光の関係を読み取る参考事例。用途の複合、運営、居場所のつくり方を卒業設計に転用して考えられる。,"Naoshima Honmura Lounge and Archive is a reference case for reading Design topic: 档案, local, exchange, tourism. It can inform thesis thinking about mixed programs, operation, and place-making.",档案|地方|交流|观光|居民生活,アーカイブ|地域|交流|観光|住民生活,Design topic: 档案|local|exchange|tourism|Design topic: resident生活,https://benesse-artsite.jp/en/art/arthouse.html,,Ryue Nishizawa,draft
CASE-005,3331 Arts Chiyoda,3331 Arts Chiyoda,3331 Arts Chiyoda,Tokyo Japan,東京 日本,Tokyo Japan,/images/graduation/cases/case-005-3331-arts-chiyoda.jpg,https://commons.wikimedia.org/wiki/File:3331_Arts_Chiyoda.JPG,CC0,Ootahara / Wikimedia Commons,,,,由旧学校改造为艺术、展览和社区活动复合空间，保留教育建筑记忆。,旧学校の教室や廊下を、展示、制作、市民活動の小さな単位へ転用した事例。既存建物の記憶を残しながら地域へ開く方法を読める。,"3331 Arts Chiyoda is a reference case for reading Design topic: 废校, art, community, reuse. It can inform thesis thinking about mixed programs, operation, and place-making.",废校|艺术|社区|再利用|创作,廃校|アート|コミュニティ|再利用|創作,Design topic: 废校|art|community|reuse|creative production,https://www.3331.jp/en/,2010,,published
CASE-006,Fuji Kindergarten,Fuji Kindergarten,Fuji Kindergarten,Tokyo Japan,東京 日本,Tokyo Japan,/images/graduation/case-placeholder.svg,,,,Image review 2026-07-04: Openverse found exact Fuji Kindergarten photos but only NC-ND licenses; official media has no reusable license confirmed.,,,环形屋顶把奔跑、观察和学习变成日常空间体验。,「Fuji Kindergarten」は、子ども・教育・屋根・学習の関係を読み取る参考事例。用途の複合、運営、居場所のつくり方を卒業設計に転用して考えられる。,"Fuji Kindergarten is a reference case for reading children, education, roof, learning. It can inform thesis thinking about mixed programs, operation, and place-making.",儿童|教育|屋顶|学习|生活支持,子ども|教育|屋根|学習|生活支援,children|education|roof|learning|Design topic: 生活支持,https://www.tezuka-arch.com/english/works/education/fujiyochien/,2007,Tezuka Architects,draft
CASE-007,Sendai Mediatheque,Sendai Mediatheque,Sendai Mediatheque,Sendai Japan,Sendai 日本,Sendai Japan,/images/graduation/cases/case-007-sendai-mediatheque.jpg,https://commons.wikimedia.org/wiki/File:SendaiMediatheque.jpg,CC BY-SA 3.0,Atsi Otani / Wikimedia Commons,,,,以开放楼板和管状结构承载图书馆、展览与市民活动的多层公共性。,図書館、ギャラリー、メディア機能を一つの公共建築に重ねた事例。用途を固定せず、市民が多様に使える空間構成を比較できる。,"Sendai Mediatheque is a reference case for reading library, Design topic: 媒体, publicness, learning. It can inform thesis thinking about mixed programs, operation, and place-making.",图书馆|媒体|公共性|学习|第三空间,図書館|メディア|公共性|学習|第三空間,library|Design topic: 媒体|publicness|learning|third place,https://www.smt.jp/,2001,Toyo Ito,published
CASE-008,Onagawa Station and Yupo'po,Onagawa Station and Yupo'po,Onagawa Station and Yupo'po,Onagawa Japan,Onagawa 日本,Onagawa Japan,/images/graduation/cases/case-008-onagawa-station-yupopo.jpg,https://commons.wikimedia.org/wiki/File:JR_East_Onagawa_Station_building%2C_Miyagi_Pref_20240420.jpg,CC BY-SA 4.0,Photo: Mister0124 / Wikimedia Commons,Source-safe image review 2026-07-04: exact exterior image confirmed through Wikimedia Commons metadata.,,,车站与温浴设施复合，成为灾后城镇重建中的公共客厅。,駅、温浴、地域交流を復興後の生活動線に組み込んだ事例。移動の場所を待つだけの空間ではなく、滞在と再会の場へ変えている。,"Onagawa Station and Yupo'po is a reference case for reading station, Design topic: 温浴, Design topic: 复兴, transport. It can inform thesis thinking about mixed programs, operation, and place-making.",车站|温浴|复兴|交通|夜间安全|步行,駅|温浴|復興|交通|夜間安全|歩行,station|Design topic: 温浴|Design topic: 复兴|transport|nightsafety|Design topic: 步行,https://shigerubanarchitects.com/works/cultural/onagawa-station/,2015,Shigeru Ban,published
CASE-009,Taipei New Immigrants Hall,Taipei New Immigrants Hall,Taipei New Immigrants Hall,Taipei Taiwan,Taipei Taiwan,Taipei Taiwan,/images/graduation/cases/case-009-wanhua-new-immigrants-hall.jpg,https://commons.wikimedia.org/wiki/File:Wanhua_New_Immigrants%27_Hall_20181117.jpg,CC BY-SA 4.0,Photo: Solomon203 / Wikimedia Commons,Image review 2026-07-04: accepted exact Wanhua New Immigrants Hall image via Wikimedia Commons CC BY-SA 4.0.,,,以多文化服务、语言学习、咨询和场地借用支持新住民与地方居民的日常接触。,多文化支援、相談、交流をまとめた公共施設。外国人住民が制度や地域につながる入口を、建築としてどう低くできるかを考えられる。,"Taipei New Immigrants Hall is a reference case for reading multicultural, community, consultation, inclusive living. It can inform thesis thinking about mixed programs, operation, and place-making.",多文化|社区|咨询|共生,多文化|コミュニティ|相談|共生,multicultural|community|consultation|inclusive living,https://nit.taipei/Content_List.aspx?n=9A7B4A84568D136C,,,published
CASE-010,Kamiyama Valley Satellite Office Complex,Kamiyama Valley Satellite Office Complex,Kamiyama Valley Satellite Office Complex,Kamiyama Japan,Kamiyama 日本,Kamiyama Japan,/images/graduation/case-placeholder.svg,,,,Image review 2026-07-04: Commons and Openverse found no exact reusable image; official and Kamiyama media license not confirmed.,,,利用地方存量空间支持远程办公、交流和地方创业。,地方の空き家や既存建物を、サテライトオフィスと地域交流の拠点へ変える事例。仕事を通じて地域に滞在する仕組みを比較できる。,"Kamiyama Valley Satellite Office Complex is a reference case for reading local revitalization, Design topic: 办公, reuse, vacant house. It can inform thesis thinking about mixed programs, operation, and place-making.",地方创生|办公|再利用|空屋|短住,地域創生|サテライトオフィス|再利用|空き家|短期滞在,local revitalization|Design topic: 办公|reuse|vacant house|Design topic: 短住,https://www.kosukebando.com/works/kamiyama-valley-satellite-office-complex/,2012,"Kosuke Bando, Issei Suma, Satoru Ito, Hiroshi Kashihara / BUS",draft
