id,name,name_ja,name_en,address_example,address_example_ja,address_example_en,fit_reason,fit_reason_ja,fit_reason_en,map_url,keywords,keywords_ja,keywords_en,candidate_locations_json,status
SITE-001,团地边缘空地,団地縁辺空地,Design topic: 团地边缘空地,东京都板桥区｜高岛平团地与高岛平地域,東京都板橋区｜高島平団地・高島平地域,Tokyo Itabashi | Takashimadaira Danchi area,住户高龄化明显且公共空间常被低效使用，适合植入照护、共食、育儿和小商业混合节点。,団地縁辺空地は、団地・高齢・公共空間・ケアを空間化しやすい敷地タイプ。周辺の既存資源、日常利用、公共性を読み取り、卒業設計の候補地として比較できる。,"Design topic: 团地边缘空地 is a site type that can turn Design topic: 团地, aging, publicspace, care into a spatial proposal. It helps compare existing resources, daily use, and publicness for a thesis project.",,团地|高龄|公共空间|照护|共食|老龄化,団地|高齢|公共空間|ケア|共食|高齢化,Design topic: 团地|aging|publicspace|care|shared meals,"[{""area"":""东京都板桥区"",""area_ja"":""東京都板橋区"",""area_en"":""Tokyo Itabashi"",""name"":""高岛平团地与高岛平地域"",""name_ja"":""高島平団地・高島平地域"",""name_en"":""Takashimadaira Danchi area"",""angle"":""大型团地、户外公共空间和社区营造据点集中，适合调研高龄者看护与共食。"",""angle_ja"":""大型団地、屋外空間、まちづくり拠点を合わせて、高齢者の見守りと共食を調査しやすい。"",""angle_en"":""Large housing estate, open space, and community planning bases make it suitable for aging-care research."",""source_url"":""https://www.ur-net.go.jp/chintai/kanto/tokyo/20_2250.html""},{""area"":""东京都北区"",""area_ja"":""東京都北区"",""area_en"":""Tokyo Kita"",""name"":""赤羽台团地再生周边"",""name_ja"":""ヌーヴェル赤羽台周辺"",""name_en"":""Nouvelle Akabanedai area"",""angle"":""可观察团地更新与生活服务之间的关系，把低层和空地转化为地域照护节点。"",""angle_ja"":""団地再生と生活サービスの関係を読み、低層部や余白を地域ケアへ展開できる。"",""angle_en"":""Useful for studying how estate renewal can connect ground floors and open space to care services."",""source_url"":""https://note.ur-net.go.jp/n/n232ec2b13763?hl=en""}]",published
SITE-002,商店街空铺,商店街空き店舗,Design topic: 商店街空铺,东京都世田谷区｜下北泽 BONUS TRACK,東京都世田谷区｜BONUS TRACK 下北沢,Tokyo Setagaya | BONUS TRACK Shimokitazawa,仍有步行人流和生活记忆，空铺尺度适中，适合社区厨房、咨询站与小型公共客厅。,商店街空き店舗は、商店街・歩行・更新・公共リビングを空間化しやすい敷地タイプ。周辺の既存資源、日常利用、公共性を読み取り、卒業設計の候補地として比較できる。,"Design topic: 商店街空铺 is a site type that can turn Design topic: 商店街, Design topic: 步行, renewal, public living room into a spatial proposal. It helps compare existing resources, daily use, and publicness for a thesis project.",,商店街|步行|更新|公共客厅|社区厨房|咨询|公共性,商店街|歩行|更新|公共リビング|コミュニティキッチン|相談|公共性,Design topic: 商店街|Design topic: 步行|renewal|public living room|communitykitchen|consultation|publicness,"[{""area"":""东京都世田谷区"",""area_ja"":""東京都世田谷区"",""area_en"":""Tokyo Setagaya"",""name"":""下北泽 BONUS TRACK"",""name_ja"":""BONUS TRACK 下北沢"",""name_en"":""BONUS TRACK Shimokitazawa"",""angle"":""小店铺、步行路径和停留空间混合，适合研究商店街尺度的公共客厅。"",""angle_ja"":""小店舗、歩行路、滞在が混ざるため、商店街の小さな公共性を読みやすい。"",""angle_en"":""Small shops, walkways, and stay spaces help study publicness at shopping-street scale."",""source_url"":""https://tbma.jp/en/works/bonus-track/""},{""area"":""东京都世田谷区"",""area_ja"":""東京都世田谷区"",""area_en"":""Tokyo Setagaya"",""name"":""下北泽 MIKAN SHIMOKITA"",""name_ja"":""MIKAN SHIMOKITA"",""name_en"":""MIKAN SHIMOKITA"",""angle"":""可把高架下店铺群作为通行、餐饮、工作与活动重叠的街区来比较。"",""angle_ja"":""高架下の店舗群を、通過、飲食、仕事、イベントが重なる街区として比較できる。"",""angle_en"":""A rail-adjacent retail cluster for comparing passage, food, work, and event uses."",""source_url"":""https://tjda.com/en/projects/mikan-shimokita""}]",published
SITE-003,空屋住宅群,空き家住宅群,Design topic: vacant house住宅群,广岛县尾道市｜尾道空屋再生项目周边,広島県尾道市｜尾道空き家再生プロジェクト周辺,Onomichi Hiroshima | Onomichi Akiya Saisei area,旧住宅可低成本改造，适合共居、短住、日间照护和地方交流型题目。,空き家住宅群は、空き家・再生・住宅・短期滞在を空間化しやすい敷地タイプ。周辺の既存資源、日常利用、公共性を読み取り、卒業設計の候補地として比較できる。,"Design topic: vacant house住宅群 is a site type that can turn vacant house, regeneration, Design topic: 住宅, Design topic: 短住 into a spatial proposal. It helps compare existing resources, daily use, and publicness for a thesis project.",,空屋|再生|住宅|短住|地方创生,空き家|再生|住宅|短期滞在|地域創生,vacant house|regeneration|Design topic: 住宅|Design topic: 短住|local revitalization,"[{""area"":""广岛县尾道市"",""area_ja"":""広島県尾道市"",""area_en"":""Onomichi Hiroshima"",""name"":""尾道空屋再生项目周边"",""name_ja"":""尾道空き家再生プロジェクト周辺"",""name_en"":""Onomichi Akiya Saisei area"",""angle"":""坡道、空屋、短期停留和地域活动叠加，适合作为住宅再利用题目的调研入口。"",""angle_ja"":""坂道、空き家、短期滞在、地域活動が重なり、既存住宅の再利用を考えやすい。"",""angle_en"":""Slope town, vacant houses, short stay, and local activity make reuse questions tangible."",""source_url"":""https://www.onomichisaisei.com/""},{""area"":""京都府京都市"",""area_ja"":""京都府京都市"",""area_en"":""Kyoto City"",""name"":""京都安心住居空屋银行相关地域"",""name_ja"":""京都安心すまいバンク対象地域"",""name_en"":""Kyoto Anshin Sumai Bank areas"",""angle"":""可从町家和空屋流通支援出发，研究居住与地域利用的再编辑。"",""angle_ja"":""町家や空き家の流通支援を手がかりに、居住と地域利用の再編集を検討できる。"",""angle_en"":""A public vacant-house platform for studying housing reuse and local program insertion."",""source_url"":""https://akiya.city.kyoto.lg.jp/ansuma-bank/""}]",published
SITE-004,车站周边缝隙地,駅周辺隙間地,Design topic: station周边缝隙地,东京都国分寺市｜国分寺 cocobunji Plaza 周边,東京都国分寺市｜cocobunjiプラザ周辺,Tokyo Kokubunji | cocobunji Plaza area,交通可达性高但空间常碎片化，适合候车、咨询、学习和夜间安全节点。,駅周辺隙間地は、駅・隙間地・公共サービス・夜間安全を空間化しやすい敷地タイプ。周辺の既存資源、日常利用、公共性を読み取り、卒業設計の候補地として比較できる。,"Design topic: station周边缝隙地 is a site type that can turn station, Design topic: 缝隙地, public service, nightsafety into a spatial proposal. It helps compare existing resources, daily use, and publicness for a thesis project.",,车站|缝隙地|公共服务|夜间安全|第三空间|咨询|交通,駅|隙間地|公共サービス|夜間安全|第三空間|相談|交通,station|Design topic: 缝隙地|public service|nightsafety|third place|consultation|transport,"[{""area"":""东京都国分寺市"",""area_ja"":""東京都国分寺市"",""area_en"":""Tokyo Kokubunji"",""name"":""国分寺 cocobunji Plaza 周边"",""name_ja"":""cocobunjiプラザ周辺"",""name_en"":""cocobunji Plaza area"",""angle"":""可参考车站前公共服务、市民活动、等待空间叠合的场地组织。"",""angle_ja"":""駅前の公共サービス、市民活動、待合を重ねる敷地読みの参考になる。"",""angle_en"":""A station-front civic hub for studying service, waiting, and community activity."",""source_url"":""https://www.city.kokubunji.tokyo.jp/shisetsu/shikanren/hall/1017572.html""},{""area"":""东京都港区"",""area_ja"":""東京都港区"",""area_en"":""Tokyo Minato"",""name"":""高轮Gateway站周边"",""name_ja"":""高輪ゲートウェイ駅周辺"",""name_en"":""Takanawa Gateway Station area"",""angle"":""适合观察新车站周边广场、移动和城市入口之间的关系。"",""angle_ja"":""新駅周辺の広場、移動、都市入口の関係を卒業設計の敷地条件として読める。"",""angle_en"":""Useful for reading station plazas, mobility, and an urban gateway as site conditions."",""source_url"":""https://kkaa.co.jp/en/project/takanawa-gateway-station/""}]",published
SITE-005,废校或闲置校舍,廃校または遊休校舍,Design topic: 废校或闲置校舍,高知县室户市｜室户废校水族馆,高知県室戸市｜むろと廃校水族館,Muroto Kochi | Muroto Schoolhouse Aquarium,教室、操场和社区记忆完整，适合学习、避难、展览和多代交流复合使用。,廃校または遊休校舍は、廃校・学習・避難・子どもを空間化しやすい敷地タイプ。周辺の既存資源、日常利用、公共性を読み取り、卒業設計の候補地として比較できる。,"Design topic: 废校或闲置校舍 is a site type that can turn Design topic: 废校, learning, evacuation, children into a spatial proposal. It helps compare existing resources, daily use, and publicness for a thesis project.",,废校|学习|避难|儿童|生活支持,廃校|学習|避難|子ども|生活支援,Design topic: 废校|learning|evacuation|children|Design topic: 生活支持,"[{""area"":""高知县室户市"",""area_ja"":""高知県室戸市"",""area_en"":""Muroto Kochi"",""name"":""室户废校水族馆"",""name_ja"":""むろと廃校水族館"",""name_en"":""Muroto Schoolhouse Aquarium"",""angle"":""旧小学的教室、泳池和地域资源被再利用，适合作为废校转用调研对象。"",""angle_ja"":""旧小学校の教室、プール、地域資源を活用した転用事例として調査しやすい。"",""angle_en"":""A former school reuse case with classrooms, pool, and local marine resources."",""source_url"":""https://www.city.muroto.kochi.jp/pages/page0343.php""},{""area"":""东京都世田谷区"",""area_ja"":""東京都世田谷区"",""area_en"":""Tokyo Setagaya"",""name"":""HOME/WORK VILLAGE（旧池尻中学）"",""name_ja"":""HOME/WORK VILLAGE（旧池尻中学校）"",""name_en"":""HOME/WORK VILLAGE"",""angle"":""把废校转成店铺、学习、工作和广场复合设施，适合研究校舍再利用。"",""angle_ja"":""廃校を店舗、学び、働く場、広場へ変えた複合利用の参考になる。"",""angle_en"":""A former junior high converted into retail, learning, work, and public event spaces."",""source_url"":""https://www.city.setagaya.lg.jp/03647/25215.html""}]",published
SITE-006,河边或运河沿线,河辺または運河沿線,Design topic: 河边或运河沿线,东京都墨田区・台东区｜隅田川Terrace周边,東京都墨田区・台東区｜隅田川テラス周辺,Tokyo Sumida and Taito | Sumida River Terrace,具有景观与防灾双重议题，可连接环境教育、避难和日常散步空间。,河辺または運河沿線は、水辺・防災・生態・避暑を空間化しやすい敷地タイプ。周辺の既存資源、日常利用、公共性を読み取り、卒業設計の候補地として比較できる。,"Design topic: 河边或运河沿线 is a site type that can turn waterfront, disaster prevention, Design topic: 生态, Design topic: 避暑 into a spatial proposal. It helps compare existing resources, daily use, and publicness for a thesis project.",,水边|防灾|生态|避暑|观光,水辺|防災|生態|避暑|観光,waterfront|disaster prevention|Design topic: 生态|Design topic: 避暑|tourism,"[{""area"":""东京都墨田区・台东区"",""area_ja"":""東京都墨田区・台東区"",""area_en"":""Tokyo Sumida and Taito"",""name"":""隅田川Terrace周边"",""name_ja"":""隅田川テラス周辺"",""name_en"":""Sumida River Terrace"",""angle"":""可观察水边步行、休息和防灾意识如何被日常化。"",""angle_ja"":""水辺の歩行、休憩、防災意識を日常空間として観察しやすい。"",""angle_en"":""A riverfront for reading walking, rest, and disaster awareness as daily space."",""source_url"":""https://www.tokyoupdates.metro.tokyo.lg.jp/en/post-1729/""},{""area"":""神奈川县横滨市"",""area_ja"":""神奈川県横浜市"",""area_en"":""Yokohama Kanagawa"",""name"":""横滨 Hammerhead 周边"",""name_ja"":""横浜ハンマーヘッド周辺"",""name_en"":""Yokohama Hammerhead area"",""angle"":""港口、商业、观光和散步互相邻接，适合作为水边停留节点参考。"",""angle_ja"":""港、商業、観光、散歩が近接し、水辺の滞在拠点として比較できる。"",""angle_en"":""Port, commerce, tourism, and walking paths overlap at a waterfront node."",""source_url"":""https://www.hammerhead.co.jp/""}]",published
SITE-007,老旧团地底层,老朽化した団地低層部,Design topic: 老旧团地底层,东京都板桥区｜高岛平团地低层和商铺区,東京都板橋区｜高島平団地低層部・商店区画,Tokyo Itabashi | Takashimadaira Danchi lower floors,底层空间接近日常动线，可承接照护、食堂、托育和轻商业功能。,老朽化した団地低層部は、団地・低層部・多世代・ケアを空間化しやすい敷地タイプ。周辺の既存資源、日常利用、公共性を読み取り、卒業設計の候補地として比較できる。,"Design topic: 老旧团地底层 is a site type that can turn Design topic: 团地, Design topic: 底层, Design topic: 代际, care into a spatial proposal. It helps compare existing resources, daily use, and publicness for a thesis project.",,团地|底层|代际|照护|共享食堂|高龄,団地|低層部|多世代|ケア|シェア食堂|高齢,Design topic: 团地|Design topic: 底层|Design topic: 代际|care|shareddining room|aging,"[{""area"":""东京都板桥区"",""area_ja"":""東京都板橋区"",""area_en"":""Tokyo Itabashi"",""name"":""高岛平团地低层和商铺区"",""name_ja"":""高島平団地低層部・商店区画"",""name_en"":""Takashimadaira Danchi lower floors"",""angle"":""靠近团地日常动线，适合构想咨询、食堂和见守小节点。"",""angle_ja"":""団地の生活動線に近く、相談、食堂、見守りの小拠点を考えやすい。"",""angle_en"":""Close to daily estate circulation, suitable for care, dining, and watch-over nodes."",""source_url"":""https://www.ur-net.go.jp/news/20260407_touchin.takashimadaira.html""},{""area"":""大阪府吹田市・丰中市"",""area_ja"":""大阪府吹田市・豊中市"",""area_en"":""Suita and Toyonaka Osaka"",""name"":""千里New Town・千里Green Hills"",""name_ja"":""千里ニュータウン・千里グリーンヒルズ"",""name_en"":""Senri New Town and Senri Green Hills"",""angle"":""可从更新后的户外空间和共用部读取多世代利用的设计条件。"",""angle_ja"":""建替え後の屋外空間や共用部から、多世代利用の設計条件を読み取れる。"",""angle_en"":""A renewal area for studying shared space and intergenerational use after estate rebuilding."",""source_url"":""https://www.ur-net.go.jp/rd_portal/awards/senrinyu-town.html""}]",published
SITE-008,社区公民馆周边,コミュニティ公民館周辺,Design topic: community公民馆周边,爱知县丰川市｜小坂井生涯学习中心・葵风馆,愛知県豊川市｜小坂井生涯学習センター・こざかい葵風館,Toyokawa Aichi | Kozakai Kifukan Community Center,已有公共使用习惯，适合扩展为学习、咨询和防灾复合的节点网络。,コミュニティ公民館周辺は、公民館・コミュニティ・増築・学習を空間化しやすい敷地タイプ。周辺の既存資源、日常利用、公共性を読み取り、卒業設計の候補地として比較できる。,"Design topic: community公民馆周边 is a site type that can turn Design topic: 公民馆, community, Design topic: 扩建, learning into a spatial proposal. It helps compare existing resources, daily use, and publicness for a thesis project.",,公民馆|社区|扩建|学习|咨询,公民館|コミュニティ|増築|学習|相談,Design topic: 公民馆|community|Design topic: 扩建|learning|consultation,"[{""area"":""爱知县丰川市"",""area_ja"":""愛知県豊川市"",""area_en"":""Toyokawa Aichi"",""name"":""小坂井生涯学习中心・葵风馆"",""name_ja"":""小坂井生涯学習センター・こざかい葵風館"",""name_en"":""Kozakai Kifukan Community Center"",""angle"":""公民馆、图书和地域活动接近，适合思考既有公共设施更新。"",""angle_ja"":""公民館、図書、地域活動が近く、既存公共施設の増築や更新を考えやすい。"",""angle_en"":""A community center model for reading civic learning, library, and local activity together."",""source_url"":""https://www.c-and-a.co.jp/en/projects/kozakaikifukan/""},{""area"":""神奈川县海老名市"",""area_ja"":""神奈川県海老名市"",""area_en"":""Ebina Kanagawa"",""name"":""有马图书馆・门泽桥社区中心"",""name_ja"":""有馬図書館・門沢橋コミュニティセンター"",""name_en"":""Arima Library and Community Center"",""angle"":""从图书馆和社区中心复合中学习地域据点的再组织。"",""angle_ja"":""図書館とコミュニティセンターの複合から、地域拠点の再編を学べる。"",""angle_en"":""A combined library and community center for studying civic facility renewal."",""source_url"":""https://www.arimalib-kadokomi.com/""}]",published
SITE-009,旧仓库或小工厂,旧倉庫または小工場,Design topic: 旧仓库或小工厂,神奈川县横滨市｜横滨红砖仓库,神奈川県横浜市｜横浜赤レンガ倉庫,Yokohama Kanagawa | Yokohama Red Brick Warehouse,结构开敞且改造容忍度高，适合创作、展示、开放工厂和产业交流。,旧倉庫または小工場は、旧工業地・倉庫・創作・生産展示を空間化しやすい敷地タイプ。周辺の既存資源、日常利用、公共性を読み取り、卒業設計の候補地として比較できる。,"Design topic: 旧仓库或小工厂 is a site type that can turn Design topic: 旧工业地, Design topic: 仓库, creative production, Design topic: 生产exhibition into a spatial proposal. It helps compare existing resources, daily use, and publicness for a thesis project.",,旧工业地|仓库|创作|生产展示|产业再生,旧工業地|倉庫|創作|生産展示|産業再生,Design topic: 旧工业地|Design topic: 仓库|creative production|Design topic: 生产exhibition|industryregeneration,"[{""area"":""神奈川县横滨市"",""area_ja"":""神奈川県横浜市"",""area_en"":""Yokohama Kanagawa"",""name"":""横滨红砖仓库"",""name_ja"":""横浜赤レンガ倉庫"",""name_en"":""Yokohama Red Brick Warehouse"",""angle"":""保留仓库记忆并开放为展览、店铺和广场，适合产业遗产转用研究。"",""angle_ja"":""倉庫の記憶を残しながら展示、店舗、広場へ開く転用事例として読める。"",""angle_en"":""A warehouse reuse reference that connects memory, exhibition, shops, and plazas."",""source_url"":""https://www.yokohamajapan.com/things-to-do/detail.php?bbid=184""},{""area"":""神奈川县横滨市"",""area_ja"":""神奈川県横浜市"",""area_en"":""Yokohama Kanagawa"",""name"":""黄金町高架下 Studio Site-B 周边"",""name_ja"":""黄金町高架下スタジオSite-B周辺"",""name_en"":""Koganecho under-rail studios"",""angle"":""可从高架下小型制作室和展厅研究创作活动与治安再生的关系。"",""angle_ja"":""高架下の小さな制作室や展示室から、創作と治安再生の関係を調査できる。"",""angle_en"":""Under-rail studios support research into production spaces and neighborhood repair."",""source_url"":""https://artnavi.yokohama/art-spot/792/""}]",published
SITE-010,避难指定设施周边,避難指定施設周辺,Design topic: evacuation指定facility周边,东京都江东区｜东京临海广域防灾公园・Sona Area Tokyo,東京都江東区｜東京臨海広域防災公園・そなエリア東京,Tokyo Koto | Tokyo Rinkai Disaster Prevention Park,可把灾时避难和平时社区活动结合，适合研究储备、信息和照护支持空间。,避難指定施設周辺は、防災・避難・平時利用と災害対応・備蓄を空間化しやすい敷地タイプ。周辺の既存資源、日常利用、公共性を読み取り、卒業設計の候補地として比較できる。,"Design topic: evacuation指定facility周边 is a site type that can turn disaster prevention, evacuation, Design topic: 平灾结合, Design topic: 储备 into a spatial proposal. It helps compare existing resources, daily use, and publicness for a thesis project.",,防灾|避难|平灾结合|储备|信息,防災|避難|平時利用と災害対応|備蓄|情報,disaster prevention|evacuation|Design topic: 平灾结合|Design topic: 储备|Design topic: 信息,"[{""area"":""东京都江东区"",""area_ja"":""東京都江東区"",""area_en"":""Tokyo Koto"",""name"":""东京临海广域防灾公园・Sona Area Tokyo"",""name_ja"":""東京臨海広域防災公園・そなエリア東京"",""name_en"":""Tokyo Rinkai Disaster Prevention Park"",""angle"":""广域防灾、学习和平时利用一体化，适合研究防灾据点空间。"",""angle_ja"":""広域防災、学習、平時利用が一体化し、防災拠点の空間化を検討できる。"",""angle_en"":""A disaster-prevention park where learning and ordinary use overlap."",""source_url"":""https://www.tokyorinkai-koen.jp/""},{""area"":""宫城县南三陆町"",""area_ja"":""宮城県南三陸町"",""area_en"":""Minamisanriku Miyagi"",""name"":""南三陆311纪念馆周边"",""name_ja"":""南三陸311メモリアル周辺"",""name_en"":""Minamisanriku 311 Memorial area"",""angle"":""可把复兴、记忆和避难意识与地域活动叠合来研究。"",""angle_ja"":""復興、記憶、避難意識を地域活動と重ねる敷地として読みやすい。"",""angle_en"":""Useful for connecting recovery, memory, evacuation awareness, and public activity."",""source_url"":""https://kkaa.co.jp/en/project/minamisanriku-311-memorial/""}]",published
